question,sentence,label,prompt_ent,prompt_con,predict
Are there any pathologies within the brain?,FINAL REPORT  EXAMINATION:  MRI of the brain with and without gadolinium.,not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'FINAL REPORT  EXAMINATION:  MRI of the brain with and without gadolinium.'\nQuestion: 'Are there any pathologies within the brain?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'FINAL REPORT  EXAMINATION:  MRI of the brain with and without gadolinium.'\nQuestion: 'Are there any pathologies within the brain?'""}]",Not entailment
Was there any interval change?,"There is  interval improvement in the bilateral lung opacity, most marked in the right  lung base.",entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'There is  interval improvement in the bilateral lung opacity, most marked in the right  lung base.'\nQuestion: 'Was there any interval change?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'There is  interval improvement in the bilateral lung opacity, most marked in the right  lung base.'\nQuestion: 'Was there any interval change?'""}]",Entailment
Is there any evidence of pulmonary edema?,There is no pneumothorax.,not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'There is no pneumothorax.'\nQuestion: 'Is there any evidence of pulmonary edema?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'There is no pneumothorax.'\nQuestion: 'Is there any evidence of pulmonary edema?'""}]",Not entailment
Was the ogt placed correctly?,"A NG tube is coiled within the fundus of the stomach and a left  PICC line and left subclavian vascular catheter remain in place, unchanged in  position.",entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'A NG tube is coiled within the fundus of the stomach and a left  PICC line and left subclavian vascular catheter remain in place, unchanged in  position.'\nQuestion: 'Was the ogt placed correctly?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'A NG tube is coiled within the fundus of the stomach and a left  PICC line and left subclavian vascular catheter remain in place, unchanged in  position.'\nQuestion: 'Was the ogt placed correctly?'""}]",Not entailment
How is the position of oro-gastric tube?,ET tube terminates within 2 cm of carina with the neck in flexed position.,not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'ET tube terminates within 2 cm of carina with the neck in flexed position.'\nQuestion: 'How is the position of oro-gastric tube?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'ET tube terminates within 2 cm of carina with the neck in flexed position.'\nQuestion: 'How is the position of oro-gastric tube?'""}]",Not entailment
Do we see any blood clots in the veins of right and left upper extremities?,The left cephalic vein demonstrated a filling defect in the region of the left  antecubital fossa which was consistent with a partial thrombosis.,entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'The left cephalic vein demonstrated a filling defect in the region of the left  antecubital fossa which was consistent with a partial thrombosis.'\nQuestion: 'Do we see any blood clots in the veins of right and left upper extremities?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'The left cephalic vein demonstrated a filling defect in the region of the left  antecubital fossa which was consistent with a partial thrombosis.'\nQuestion: 'Do we see any blood clots in the veins of right and left upper extremities?'""}]",Entailment
Are thre any changes in the diffuse convalescent opacities in the lungs?,"There has been interval improvement in  the bilateral ground glass, patchy opacities.",entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'There has been interval improvement in  the bilateral ground glass, patchy opacities.'\nQuestion: 'Are thre any changes in the diffuse convalescent opacities in the lungs?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'There has been interval improvement in  the bilateral ground glass, patchy opacities.'\nQuestion: 'Are thre any changes in the diffuse convalescent opacities in the lungs?'""}]",Entailment
Is there evidence of bleeding in GI?,There are  multilevel degenerative changes of the thoracic spine.,not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'There are  multilevel degenerative changes of the thoracic spine.'\nQuestion: 'Is there evidence of bleeding in GI?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'There are  multilevel degenerative changes of the thoracic spine.'\nQuestion: 'Is there evidence of bleeding in GI?'""}]",Not entailment
Is the NGT placed correctly?,No  pneumothorax is noted.,not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'No  pneumothorax is noted.'\nQuestion: 'Is the NGT placed correctly?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'No  pneumothorax is noted.'\nQuestion: 'Is the NGT placed correctly?'""}]",Not entailment
Do we see any blocks in the coronary arteries?,Stress and resting perfusion images show no myocardial perfusion defects.,entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'Stress and resting perfusion images show no myocardial perfusion defects.'\nQuestion: 'Do we see any blocks in the coronary arteries?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'Stress and resting perfusion images show no myocardial perfusion defects.'\nQuestion: 'Do we see any blocks in the coronary arteries?'""}]",Not entailment
Is interval change present in pneumocystis pneumonia?,"Allowing for differences in technique, there is no significant change in the  interval.",entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'Allowing for differences in technique, there is no significant change in the  interval.'\nQuestion: 'Is interval change present in pneumocystis pneumonia?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'Allowing for differences in technique, there is no significant change in the  interval.'\nQuestion: 'Is interval change present in pneumocystis pneumonia?'""}]",Not entailment
Have the lungs improved since the last time ?,"2) Diffuse bilateral ground glass and alveolar opacities, consistent with  pneumocystis pneumonia, and unchanged.",entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: '2) Diffuse bilateral ground glass and alveolar opacities, consistent with  pneumocystis pneumonia, and unchanged.'\nQuestion: 'Have the lungs improved since the last time ?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: '2) Diffuse bilateral ground glass and alveolar opacities, consistent with  pneumocystis pneumonia, and unchanged.'\nQuestion: 'Have the lungs improved since the last time ?'""}]",Not entailment
Where is the chest pain located?,Available for comparison is a similar previous  chest examination dated [**2100-12-15**].,not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'Available for comparison is a similar previous  chest examination dated [**2100-12-15**].'\nQuestion: 'Where is the chest pain located?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'Available for comparison is a similar previous  chest examination dated [**2100-12-15**].'\nQuestion: 'Where is the chest pain located?'""}]",Not entailment
Is there any sign of fracture?,No displaced rib fracture is identified.,entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'No displaced rib fracture is identified.'\nQuestion: 'Is there any sign of fracture?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'No displaced rib fracture is identified.'\nQuestion: 'Is there any sign of fracture?'""}]",Not entailment
Is there any change over the interval within pneumonia?,There has been interval improvement in the more confluent areas of  consolidation at the bases.,entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'There has been interval improvement in the more confluent areas of  consolidation at the bases.'\nQuestion: 'Is there any change over the interval within pneumonia?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'There has been interval improvement in the more confluent areas of  consolidation at the bases.'\nQuestion: 'Is there any change over the interval within pneumonia?'""}]",Entailment
How are the veins in the upper extremities ?,"The diameters of the right basilic vein were 0.35,  0.34, 0.31, 0.24.",not_entailment,"[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Entailment' or 'Not entailment' without any additional explanations.\n\nContext sentence: 'The diameters of the right basilic vein were 0.35,  0.34, 0.31, 0.24.'\nQuestion: 'How are the veins in the upper extremities ?'""}]","[{'role': 'system', 'content': ""You are a radiologist. Your task is to determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.""}, {'role': 'user', 'content': ""Determine whether the given context sentence from a radiology report contains the answer to the provided question. Please answer with either 'Contain' or 'Not contain' without any additional explanations.\n\nContext sentence: 'The diameters of the right basilic vein were 0.35,  0.34, 0.31, 0.24.'\nQuestion: 'How are the veins in the upper extremities ?'""}]",Not entailment
